date	source	title	textfile	text	para_n	about_ineq_pred	about_billion_pred	about_wt_pred	about_wt_manual
2019-07-30	The Washington Post (Online)	Kamala Harris steps away from the far-left cliff on health care	txt-opeds/2266738077.xml.txt	The Post reports: Sen. Kamala D. Harris released a health-care plan Monday that reshapes her stance on the sharply divisive issue, proposing a government-run system that would allow private insurance as long as it follows Medicare's coverage rules. The plan is in many ways a middle ground between Sen. Bernie Sanders's Medicare-for-all proposal and former vice president Joe Biden's desire to build on the current system. ... Harris had previously said private insurance should continue to exist only to cover supplemental medical expenses, such as cosmetic surgery, foreign travel insurance and other services not covered by Medicare. But on Monday she said she would allow a variation of Medicare Advantage plans, private policies that offer the same services as Medicare but often use a provider network. Harris also wants to expand Medicare coverage to include vision and dental care, as well as hearing aids and mental health services.	0	FALSE	FALSE	FALSE	FALSE
2019-07-30	The Washington Post (Online)	Kamala Harris steps away from the far-left cliff on health care	txt-opeds/2266738077.xml.txt	In stepping back from a plunge over the far-left cliff, she apparently has listened to policy concerns (e.g. cost, logistics) and taken in polling data that show voters are concerned more about universal coverage and price than about adoption of a single-payer plan. The Post notes, ""Harris told reporters she'd heard three main concerns about Medicare-for-all on the campaign trail: that it was too big to implement quickly; that it would require middle-class tax increases; and that 'people don't want government or anyone to take away their choices.' "" She sounds an awful lot like Sen. Amy Klobuchar (D-Minn.) and Biden (who have resisted even the term ""Medicare-for-all""), not to mention savvy center-left pundits warning candidates not to adopt an ideologically pristine and politically risky plan that lacks a good policy rationale.	1	TRUE	FALSE	FALSE	FALSE
2019-07-30	The Washington Post (Online)	Kamala Harris steps away from the far-left cliff on health care	txt-opeds/2266738077.xml.txt	Right-leaning pundits seem incensed that Harris is keeping a role for private plans rather than sticking to maximalist rhetoric. She finances the plan not with a wealth tax (like Warren's heavily criticized plan) but with a tax on financial transactions. Umm, that's a better, more realistic option, isn't it? Harris's rivals are going ballistic, accusing her of trying to be all things to all people. They might not mean it as such, but that's called good politics. Getting the best of both worlds — rallying the base without losing the center (or giving a pathway to Medicare without scaring people) — is exactly how one wins elections, even primary elections in which the party is properly concerned about giving President Trump ammunition to unload on the eventual nominee. Sanders's campaign put out a blatantly misleading statement accusing Harris of trying to ""privatize"" Medicare. Lily Adams, Harris's communications director, tells me, ""It's just not true and frankly they know it. Her plan immediately expands coverage, is most closely modeled after the current Medicare system that works and is the best way to get to universal coverage and take on big insurance companies.""	2	FALSE	FALSE	FALSE	TRUE
2019-07-30	The Washington Post (Online)	Kamala Harris steps away from the far-left cliff on health care	txt-opeds/2266738077.xml.txt	Andy Slavitt, who served as acting administrator for the Centers for Medicare & Medicaid Services under President Barack Obama, says: ""In a nutshell, the most important narrative out of this plan is that the Democratic presidential candidates are putting forward different approaches with often relatively modest distinction on how to get to the same place — universal coverage."" In Harris's case, she avoids the pitfalls of Sanders's plan without giving up on improved access. ""Senator Harris's plan is an effort to balance idealism and pragmatism. It says in effect: We have a mandate to get everyone affordable health care and put people over profits — but we don't need to tear down the things people have and they like in order to do it.""	3	TRUE	TRUE	FALSE	FALSE
2019-07-30	The Washington Post (Online)	Kamala Harris steps away from the far-left cliff on health care	txt-opeds/2266738077.xml.txt	Harris smartly recognized that Democrats win on health care if they make the election a choice between taking away health-care coverage (as Trump would do) or solidifying Obamacare/extending access to health-care coverage. If Democrats become advocates for destroying the entire system and creating chaos and ""socialism,"" then Democrats will wind up handing Trump the advantage. Harris has used her telegenic personality, prosecutorial flair and precise policy positioning (left, but not too far left) to balance three competing concerns: Rally the critical African American base, endear herself to the progressive wing of the party and preserve her general-election credibility — without which Democrats desperate for a win are unlikely to nominate her.	4	TRUE	FALSE	FALSE	FALSE
2019-07-30	The Washington Post (Online)	Kamala Harris steps away from the far-left cliff on health care	txt-opeds/2266738077.xml.txt	If Harris wins the nomination, her success may be traceable less to her much-heralded attack on Biden in the first debate than her clever health-care resolution in advance of the second debate. She will get a chance to defend herself against critics' nitpicking at Wednesday night's debate. Her critics should be forewarned: Arguing that someone has been too reasonable or that a candidate used to be fuzzy on an issue isn't all that effective. Paul Waldman: Kamala Harris finds a third way with her health-care plan Rob Stutzman: If Kamala Harris wants to win, she needs to find a higher gear	5	FALSE	FALSE	FALSE	FALSE
2019-07-30	The Washington Post (Online)	Kamala Harris steps away from the far-left cliff on health care	txt-opeds/2266738077.xml.txt	Paul Waldman: Medicare-for-all faces its moment of truth	6	TRUE	FALSE	FALSE	FALSE
2020-04-08	The Washington Post (Online)	Bernie Sanders is out. And the insincere praise begins.	txt-opeds/2387534568.xml.txt	Quite belatedly, Sen. Bernie Sanders (I-Vt.) announced Wednesday that he is ending his presidential campaign. The race was effectively over on Super Tuesday, but Sanders and his devoted Bernie Bros are not known for their selfless devotion to party, so his futile race dragged on for another month. Perhaps he stayed in an attempt to increase Democratic turnout in Wisconsin to help oust a right-wing state supreme court justice. Or maybe he would have stayed in even longer, but the sight of people endangering themselves to vote during a pandemic was simply too much to bear. In any case, his second run — far less effective than his first — is over.	0	FALSE	FALSE	FALSE	FALSE
2020-04-08	The Washington Post (Online)	Bernie Sanders is out. And the insincere praise begins.	txt-opeds/2387534568.xml.txt	Democrats, aided by the mainstream media, are now putting out two rather disingenuous storylines. First, ""No one ever changed the party as much as Sanders."" Second, ""Now begins the struggle to win over the Bernie Bros."" It is understandable that some Democrats — eager to avoid a schism similar to that which occurred in 2016 — are falling over themselves to assuage Sanders's ego, but let's not get carried away. The ""Bernie changed the party"" line suggests that the party did not overwhelmingly choose a center-left successor to President Barack Obama. But it did! And it has rallied around someone who rejected Medicare-for-all, a wealth tax, left-wing isolationism and the entire ""capitalism is evil"" stance. Sanders got beaten badly week after week, never changing his message. That message simply did not register with more than about 30 percent of the party. Twitter does not represent the party. The party did not shift far left, as many in the media predicted (egged on by the loudest voices on the left). If anything, Biden's wins show that the heart of the party rests with moderate African Americans — to whom all Americans are indebted for lifting a viable, electable nominee to oust President Trump. Sanders's ""movement"" is far smaller than he would have liked us to believe.	1	FALSE	FALSE	FALSE	TRUE
2020-04-08	The Washington Post (Online)	Bernie Sanders is out. And the insincere praise begins.	txt-opeds/2387534568.xml.txt	As for winning over his followers, consider a recent poll showing that about 15 percent of Sanders's supporters intend to vote for Trump if Biden is the nominee. It is hard to fathom the mindset of someone who would prefer an unfit narcissist who opposes virtually every principle and value Democrats hold dear to Obama's vice president. It is of a piece with those who preferred Jill Stein in 2016. There is no reaching such people. Soliciting them is a waste of time. The rest of the Sanders coalition should not need much courting. They've already signaled they will line up behind Biden and have expressed their determination to oust Trump. Other than not gratuitously attacking them, no great effort should be required to keep them in the fold. (Ironically, Sen. Elizabeth Warren (D-Mass.) has been far more successful in advancing progressive policy ideas with Biden, including her plans on student debt forgiveness and bankruptcy.)	2	FALSE	FALSE	FALSE	FALSE
2020-04-08	The Washington Post (Online)	Bernie Sanders is out. And the insincere praise begins.	txt-opeds/2387534568.xml.txt	There are far bigger challenges for Biden than securing former Sanders voters. He must defeat Republican attempts to suppress the vote (including the GOP's opposition to voting by mail, which forces voters to choose between their right to vote and risking their lives by voting in person during a pandemic). He must hold Trump to account for his grotesque negligence in responding to the coronavirus, the greatest failure in presidential leadership, and for his stomach-turning corruption. And he must underscore the fundamental difference in values between the parties: Democrats are defenders of the little guy and of reforms that increase their pay, protect their health care and keep them safe.	3	FALSE	FALSE	TRUE	FALSE
2020-04-08	The Washington Post (Online)	Bernie Sanders is out. And the insincere praise begins.	txt-opeds/2387534568.xml.txt	That's a tall order, which makes it all the more urgent that Biden not be sidetracked by Bernie Bros' hurt feelings. There is an election to be won and a country to be saved. Note to readers: I will be off in preparation for and celebration of Passover. I will return Friday. For all who are celebrating, I hope your holiday is joyous and delicious.	4	FALSE	FALSE	FALSE	FALSE
2021-06-09	Los Angeles Times (Online)	Column: More proof that a wealth tax on billionaires is desperately needed	txt-opeds/2539301689.xml.txt	The nonprofit news organization ProPublica has just performed a significant public service by publishing federal tax records of some of America’s leading billionaires, including Jeff Bezos and Elon Musk. The records are eye-opening, showing how the super-rich have gained from a tax system rigged in their favor. As ProPublica reports, the system allows them to pay a minuscule portion of their wealth, and sometimes their conventional income, in taxes. It’s not their tax-avoidance methods that are so striking, for those are familiar to anyone paying attention, but the scale of tax breaks. This is a system designed for the fortunate few by professional tax dodgers.	0	TRUE	TRUE	TRUE	FALSE
2021-06-09	Los Angeles Times (Online)	Column: More proof that a wealth tax on billionaires is desperately needed	txt-opeds/2539301689.xml.txt	Sen. Ron Wyden (D-Ore.), in 2019 Bezos’ wealth grew by $99 billion from 2014 to 2018, but he paid only about 1% of that growth in federal taxes. Musk’s fortune grew by about $14 billion in that time frame, but he paid only about 3.27% of that increase in federal taxes. Statistics like these illustrate the adage that what’s really scandalous in American society isn’t what’s illegal, but what’s legal. Commentary on economics and more from a Pulitzer Prize winner. All the tax-avoidance devices documented by ProPublica are, in fact, perfectly legal. But they’re useful chiefly for millionaires and billionaires who have the legal flexibility to sequester their wealth in categories that enjoy either low tax rates or infinitely deferrable tax liabilities.	1	TRUE	TRUE	FALSE	FALSE
2021-06-09	Los Angeles Times (Online)	Column: More proof that a wealth tax on billionaires is desperately needed	txt-opeds/2539301689.xml.txt	What’s most important about the disclosures is that they point to a remedy for economic inequality that has been heard more and more often: Tax wealth, not merely income. Wealth taxes were proposed by Sens. Elizabeth Warren and Bernie Sanders during their presidential campaigns. Warren reintroduced her idea in Congress this year. The scale of wealth concentration in a few hands makes a wealth tax imperative. There’s been a certain amount of sniffing that the ProPublica disclosures are old news — that the tax dodge of unrealized capital gains and other breaks available chiefly to those with a lot of money have long been known. The disclosures “told me things I already knew,” tweeted Washington Post libertarian columnist Megan McArdle.	2	TRUE	TRUE	TRUE	TRUE
