date	source	title	textfile	text	para_n	wealth_tax	billionaire	ineq
2020-04-21	New York Times (Online)	A Wealth Tax Is the Logical Way to Support Coronavirus Relief	txt-opeds/2392335478.xml.txt	The precise contours of such a tax obviously require detailed design. Still, a rough outline illustrates the basic idea. The wealthiest 5 percent of American families now hold $57 trillion, or two-thirds of all household wealth in the country (up from about half in 1960). An exemption for the first $2.5 million of household wealth would exclude the bottom 95 percent from paying any tax at all and leave the top 5 percent with total taxable wealth of roughly $40 trillion. A 5 percent tax on the richest 5 percent of households could thus raise up to $2 trillion.	2	1	2	1
2021-02-07	Wall Street Journal (Online)	Mediocrity Is Now Mandatory; From stimulus to school admissions, leaders act as if ease is the only worthy goal.	txt-opeds/2487103965.xml.txt	Then again, when the University of California system did away with racial preferences in 1996, it moved to holistic admissions. What does holistic mean? Anything you want. The Association of Public and Land-Grant Universities defines it as """"""""assessing an applicant's unique experiences alongside traditional measures of academic readiness."""""""" Grades are only a suggestion—and SAT scores are biased, supposedly. And here you thought smart students got into good colleges. Yes, mediocrity has crept into our self-proclaimed elite colleges. Job recruiters understand this. Virtually all universities and now many companies have D&I departments, for diversity and inclusion. Sounds worthy. But as far as I can tell, the No. 1 job of a D&I department is to hire more people into the D&I department. No one ever mentions excellence.	1	0	0	0
2021-05-10	Los Angeles Times (Online)	Column: California is rolling in surplus cash. But legislators want to raise taxes anyway	txt-opeds/2524189439.xml.txt	It’s income tax time across America, but in the California Legislature it is always tax time. Some Democrats never stop trying to raise taxes. It seems addictive. Never mind that Californians already pay the highest state taxes in the nation. Moreover, Sacramento is hauling in so much revenue that the state government is accumulating a huge surplus and is close to being legally forced to return some of the money to taxpayers. Yet, during the young legislative session lawmakers have already proposed raising taxes and fees by an unbelievable $234 billion annually, according to the California Tax Foundation. That’s a research nonprofit founded decades ago by the California Taxpayers Assn., an anti-tax lobby.	0	0	0	3
2019-12-26	The Washington Post (Online)	2020: The year in preview	txt-opeds/2330716596.xml.txt	He's no Mr. Nice Guy,"""" said the narrator in a $1 million-plus ad that ran during the World Series, highlighting some of the president's accomplishments while admitting that voters might not like him. """"But sometimes it takes a Donald Trump to change Washington."""" The idea is to talk more about his record and less about his personality — while slashing and burning Democratic opponents. At a briefing with reporters in mid-December, campaign manager Brad Parscale and senior adviser Jared Kushner showed data from 2016 indicating that people who said they disapproved of Trump still voted for him. They said many people don't want to publicly admit that they back Trump, but they ultimately will. Their targets are primarily suburban women and independents.	25	0	0	0
2021-06-09	Los Angeles Times (Online)	Column: More proof that a wealth tax on billionaires is desperately needed	txt-opeds/2539301689.xml.txt	The least disputable aspect of the excessive accumulation of wealth in America is that a solution is desperately needed. Ed Kleinbard knew more about taxation than almost anyone and put it to work for the public interest. The Founding Fathers saw the phenomenon as flatly undemocratic. In his autobiography, Thomas Jefferson wrote of bills he had advocated to form “a system by which every fibre would be eradicated of antient [sic] or future aristocracy; and a foundation laid for a government truly republican.” His goal was to “prevent the accumulation and perpetuation of wealth in select families.” Jefferson would be appalled at the concentration of wealth in America today. Presumably he would find sound economic and social sense in taxing the hell out of excessive incomes and excessive wealth.	12	1	0	1
2021-01-15	Los Angeles Times (Online)	Column: Scores of billionaires supported Trump, showing the necessity of a wealth tax	txt-opeds/2478137839.xml.txt	Chuck Collins, Institute for Policy Studies Among the biggest contributors to the Trump Victory Fund in 2019-20, according to a compilation of Federal Election Commission data by the Institute for Policy Studies, a progressive think tank, are gas pipeline magnate Kelcy Lee Warren ($2.25 million); casino owners Steve Wynn ($1.5 million), Philip Ruffin ($1.38 million) and the late Sheldon Adelson ($1.16 million); and oil developers Jeffrey D. Hildebrand ($955,000) and Harold Hamm ($300,000). The billionaire contributors to the Victory Fund, a political action committee affiliated with the candidate’s reelection campaign committee, may have merely been showing their gratitude for Trump’s service to them over the last four years. Or they may have been hoping to make an investment in the future — that is, four more years of Trumpian handouts to corporations and the affluent.	1	0	1	1
2023-03-09	Wall Street Journal (Online)	All the President's Tax Increases; Biden's budget wants $4.7 trillion more of your money and still grows federal debt by $17 trillion.	txt-opeds/2784959647.xml.txt	All of this will raise the cost of investing and the effective federal corporate rate well above 28% for many companies and higher than before the 2017 tax reform that finally ended the flight of U.S. companies overseas. Add the average state corporate rate of 6%, and U.S. companies will be at a large global disadvantage. •4% stock buyback tax. Mr. Biden didn't waste time adding to the IRA's 1% tax on corporate stock buybacks, quadrupling it a year later. The higher rate will interfere with business decisions on where to invest their capital with damaging impact on growth.	4	0	0	3
2019-10-21	Wall Street Journal (Online)	Another $800 Billion, Please; Senator Warren has another giant spending plan for you.	txt-opeds/2307218818.xml.txt	If it's Monday, it must be another giant spending proposal from one of the Democratic presidential candidates. This week, like most weeks, the winner is front-runner Elizabeth Warren, who called in a post on Medium for another $800 billion in federal spending on K-12 education. Her """"""""plan""""""""—she loves that word—would quadruple current spending on Title I funds for schools with low-income students to $450 billion over 10 years. She also wants $200 billion more for students with disabilities, $100 billion in other grants, and $50 billion for school buildings. Remember when K-12 used to be largely a state and local responsibility? It won't be with Ms. Warren.	0	0	0	3
2021-06-12	New York Times (Online)	Fat Cats on a Hot Tin Roof	txt-opeds/2540111669.xml.txt	Given what this country has been through with Covid, given all the corrupt bankers who got off scot-free after the economic collapse, and given how hard it is to earn a buck, this new glimpse into inequities is genuinely disgusting. Paging Madame Defarge: Where do you get your knitting needles? Paying taxes is an expression of citizenship. You can’t belong to the club and not pay your dues. You shouldn’t come into the world with the ambition to pay no taxes. Paying more taxes should be a sign that you made more money — and good for you. We don’t want to ding you for succeeding but we’re halfway to a plutocracy here.	6	0	1	1
2019-11-15	The Washington Post (Online)	How impeachment will upend the Democratic primary	txt-opeds/2314673896.xml.txt	Is anyone helped? With his message of healing, Pete Buttigieg, the 37-year-old mayor of South Bend, Ind., will perhaps get a boost from a highly partisan and unproductive spectacle in Washington. Or maybe the entrepreneur Andrew Yang. Viewed that way, it begins to make sense that former Massachusetts governor Deval Patrick has decided to hop into the race. So far, the cycle has not been kind to governors and former governors, as Jay Inslee, John Hickenlooper and Steve Bullock can attest. But Patrick has a couple of advantages over the others, and the trial might give him room to deploy them.	4	0	0	0
2013-07-05	New York Times (Online)	The Legacy of the Boomer Boss	txt-opeds/2214861510.xml.txt	Still, choosing to create a more lasting legacy than letting some large corporation take over one’s life work has a certain quiet appeal — especially when it is rewarded with tax benefits. Gar Alperovitz, a professor of political economy at the University of Maryland and a founder of the Democracy Collaborative, is the author of “What Then Must We Do?: Straight Talk about the Next American Revolution.”	5	0	0	2
2021-10-19	Wall Street Journal (Online)	Biden's Real Tax Target Isn't the Superrich; His plan would sock it to the 'working rich,' whose taxes are already high, not billionaire investors.	txt-opeds/2583109800.xml.txt	So why this disconnect? Besides the sad and scary mass appeal of """"""""let's storm the castle"""""""" bombast, another obvious guess is that the rhetorical targets have far more, and far better, lobbyists than those who'd actually pay these new taxes. Some of the superwealthy are clearly in on the game, loudly braying, """"""""Tax me more!"""""""" Of course some are sincere and well-meaning. But many are only virtue signaling in the sadly rational expectation that their oxen won't be the ones that get gored. All of this lets the bill's proponents talk a good game while continuing to kowtow to some of their biggest donors. A more charitable—but still cynical—explanation is that those writing policy know that going after the easy-to-tax ordinary income of the working rich will be relatively easy and the working rich outnumber the superwealthy by a large margin, leading to far more revenue.	4	2	2	1
2021-04-22	Los Angeles Times (Online)	Column: Biden wants to hike the capital gains tax. The wealthy will fight him to the death	txt-opeds/2516435211.xml.txt	And, of course, it grants preferential treatment to investment income over labor income. That sticks in the craw of many working Americans, as it should. The full details of the plan being considered at the White House, as Bloomberg set it forth, are murky. Just raising the rate would open the door to more legal circumvention of the tax. Biden would have to impose a levy on unsold assets and change the rules for inheritances to fully capture revenues from the tax. It isn’t clear that White House thinking has gone that far. Commentary on economics and more from a Pulitzer Prize winner.	3	0	0	1
