date	source	title	textfile
2019-07-30	The Washington Post (Online)	Kamala Harris steps away from the far-left cliff on health care	txt-opeds/2266738077.xml.txt
2020-04-08	The Washington Post (Online)	Bernie Sanders is out. And the insincere praise begins.	txt-opeds/2387534568.xml.txt
2021-06-09	Los Angeles Times (Online)	Column: More proof that a wealth tax on billionaires is desperately needed	txt-opeds/2539301689.xml.txt
2020-01-12	New York Times (Online)	Why Shouldn’t New York’s Wealthiest P.T.A.s Share With Its Neediest Schools?	txt-opeds/2336035788.xml.txt
2019-04-03	The Washington Post (Online)	What sets these Democratic candidates apart	txt-opeds/2202984686.xml.txt
2019-08-22	Wall Street Journal (Online)	Warren Is Missing a Plan; The Massachusetts senator has been remarkably vague about health care.	txt-opeds/2277619075.xml.txt
2019-04-25	The Washington Post (Online)	Warren’s free-college-and-debt-forgiveness plan may be liberal, but it isn’t progressive	txt-opeds/2214835581.xml.txt
2019-06-30	The Washington Post (Online)	A wealth tax isn’t the best way to tax the rich	txt-opeds/2249636093.xml.txt
2021-06-16	Wall Street Journal (Online)	ProPublica's Plan for a Poorer America; A federal wealth tax would only make it harder for people with big dreams to make them a reality.	txt-opeds/2541478998.xml.txt
2019-06-12	The Washington Post (Online)	What Joe Biden really means when he talks about bipartisanship	txt-opeds/2238868647.xml.txt
2019-06-18	The Washington Post (Online)	This should be Kamala Harris’s message	txt-opeds/2242616596.xml.txt
2022-12-16	Los Angeles Times (Online)	Column: Can America's billionaires please stop whining about their privacy rights?	txt-opeds/2754979485.xml.txt
2019-09-16	Wall Street Journal (Online)	The Assault on the Supreme Court; The revival of smears against Kavanaugh is part of a campaign.	txt-opeds/2291045822.xml.txt
2019-09-13	Wall Street Journal (Online)	Introducing: Das Monopoly™; The game you love, now with discussions of race, sex and privilege.	txt-opeds/2289781865.xml.txt
2019-11-12	Wall Street Journal (Online)	The Tax Increases to Come; Democrats in Congress want to raise the top individual rate to 47%.	txt-opeds/2313786364.xml.txt
2019-02-01	The Washington Post (Online)	In remarkable exchange, Trump offers startling view of role of free press	txt-opeds/2174661200.xml.txt
2019-03-27	New York Times (Online)	A Dummy’s Guide to Democratic Policy Proposals	txt-opeds/2198123985.xml.txt
2021-10-01	The Washington Post (Online)	Why progressive Democrats are digging in their heels on spending	txt-opeds/2578273759.xml.txt
2021-06-03	New York Times (Online)	Can the Rich Pay for a Better America?	txt-opeds/2536625588.xml.txt
2014-01-01	The Washington Post (Online)	Pfizer's offer to buy AstraZeneca shows that the U.S. needs corporate tax reform (Posted 2014-05-08 01:22:40)	txt-opeds/1521893343.xml.txt
2023-01-24	Wall Street Journal (Online)	The State Wealth-Tax Alliance; You can check out any time you like, but you can never leave.	txt-opeds/2768804617.xml.txt
2022-07-25	Los Angeles Times (Online)	Guerrero: Senate candidate Blake Masters doesn't just want to 'build the wall.' He's building a dystopia	txt-opeds/2693689860.xml.txt
2019-12-26	Wall Street Journal (Online)	Elizabeth Warren Has a Plan, Oh My; She may not win the nomination, but her ideas show where the American left wants to go.	txt-opeds/2330674947.xml.txt
2021-05-28	Wall Street Journal (Online)	Oklahoma Joins the Tax Cutters; The Sooner State returns a budget surplus to taxpayers.	txt-opeds/2533496870.xml.txt
2019-07-30	The Washington Post (Online)	What the CNN moderators should be asking	txt-opeds/2266740250.xml.txt
2021-09-08	Wall Street Journal (Online)	Biden's Tax Changes Won't Hurt Family Farmers; Changes to the step-up in basis are needed to ensure that wealthy investors pay their fair share.	txt-opeds/2570128461.xml.txt
2019-11-22	The Washington Post (Online)	What history tells us about winners of the Iowa caucuses	txt-opeds/2316956778.xml.txt
2019-01-25	The Washington Post (Online)	Happy Hour Roundup	txt-opeds/2170828116.xml.txt
2019-03-19	Wall Street Journal (Online)	Elizabeth Warren Isn't Qualified to Teach History, Either; The 'ideas' candidate is now exploring slavery reparations.	txt-opeds/2193732368.xml.txt
